RowID,Nation Year,Nation,FIS code,Year,Bib,Rank,Name,Event Name,Date
1,"",100,9050265,AUT,2,1,AUSTRIA 1,World Cup Bad Gastein (AUT),2024-01-17
2,1980,"",1093190,"",2-1,"",PROMMEGGER Andreas,World Cup Bad Gastein (AUT),2024-01-17
3,1992,"",9055032,"",2-2,"",SCHOEFFMANN Sabine,World Cup Bad Gastein (AUT),2024-01-17
4,"",80,9295007,ITA,5,2,ITALY 3,World Cup Bad Gastein (AUT),2024-01-17
5,1995,"",9290227,"",5-1,"",BAGOZZA Daniele,World Cup Bad Gastein (AUT),2024-01-17
6,1997,"",9295145,"",5-2,"",DALMASSO Lucia,World Cup Bad Gastein (AUT),2024-01-17
7,"",60,9200153,GER,1,3,GERMANY 1,World Cup Bad Gastein (AUT),2024-01-17
8,1993,"",9200092,"",1-1,"",BAUMEISTER Stefan,World Cup Bad Gastein (AUT),2024-01-17
9,1996,"",9205058,"",1-2,"",HOFMEISTER Ramona Theresia,World Cup Bad Gastein (AUT),2024-01-17
10,"",50,9290369,ITA,6,4,ITALY 1,World Cup Bad Gastein (AUT),2024-01-17
11,1994,"",9290200,"",6-1,"",BORMOLINI Maurizio,World Cup Bad Gastein (AUT),2024-01-17
12,1999,"",9295132,"",6-2,"",CAFFONT Elisa,World Cup Bad Gastein (AUT),2024-01-17
13,"",45,9050269,AUT,3,5,AUSTRIA 2,World Cup Bad Gastein (AUT),2024-01-17
14,1997,"",9050238,"",3-1,"",AUNER Arvid,World Cup Bad Gastein (AUT),2024-01-17
15,1973,"",1004920,"",3-2,"",RIEGLER Claudia,World Cup Bad Gastein (AUT),2024-01-17
16,"",40,9510435,SUI,4,6,SWITZERLAND 1,World Cup Bad Gastein (AUT),2024-01-17
17,1995,"",9510316,"",4-1,"",CAVIEZEL Dario,World Cup Bad Gastein (AUT),2024-01-17
18,1992,"",9515082,"",4-2,"",ZOGG Julie,World Cup Bad Gastein (AUT),2024-01-17
19,"",36,9290400,ITA,7,7,ITALY 2,World Cup Bad Gastein (AUT),2024-01-17
20,1991,"",9290107,"",7-1,"",CORATTI Edwin,World Cup Bad Gastein (AUT),2024-01-17
21,2001,"",9295154,"",7-2,"",CORATTI Jasmin,World Cup Bad Gastein (AUT),2024-01-17
22,"",32,9560213,SLO,9,8,SLOVENIA 1,World Cup Bad Gastein (AUT),2024-01-17
