RowID,FIS Points,Nation,FIS code,Score,Year,Bib,Athlete,Rank,Event Name,Date
1,110.00,CZE,9150333,1:06.44,2006,60,MINARIK Krystof,1,National Championships Dolni Morava (CZE),2024-01-06
2,88.00,POL,9430169,1:07.20,1999,58,RUTKOWSKI Mikolaj,2,National Championships Dolni Morava (CZE),2024-01-06
3,66.00,CZE,9150168,1:10.74,1999,55,POCINEK Adam,3,National Championships Dolni Morava (CZE),2024-01-06
4,55.00,CZE,9150343,1:11.09,2006,49,TULACH Ondrej,4,National Championships Dolni Morava (CZE),2024-01-06
5,49.50,POL,9430191,1:12.75,2004,62,WILK Michal,5,National Championships Dolni Morava (CZE),2024-01-06
6,49.50,POL,9430012,1:12.75,1987,54,GASIENICA-DANIEL Andrzej,5,National Championships Dolni Morava (CZE),2024-01-06
7,39.60,POL,9430208,1:14.05,2006,64,KULPINSKI Anatol,7,National Championships Dolni Morava (CZE),2024-01-06
8,35.20,CZE,1473042,1:14.91,1980,50,BRUZEK Viktor,8,National Championships Dolni Morava (CZE),2024-01-06
9,31.90,CZE,1696045,1:17.62,1971,52,SONKA Jiri,9,National Championships Dolni Morava (CZE),2024-01-06
10,28.60,CZE,1377206,1:19.10,1968,57,MAHOVSKY Kamil,10,National Championships Dolni Morava (CZE),2024-01-06
11,26.40,KOR,9320222,1:19.39,2005,63,PARK Jisung,11,National Championships Dolni Morava (CZE),2024-01-06
12,24.20,POL,9430173,1:20.81,1989,53,PIEKAJ Lukasz,12,National Championships Dolni Morava (CZE),2024-01-06
13,22.00,CZE,7150003,1:22.09,1973,68,SONKA Jaroslav,13,National Championships Dolni Morava (CZE),2024-01-06
14,19.80,CZE,9150198,1:23.22,1977,51,KLEIN Tomas,14,National Championships Dolni Morava (CZE),2024-01-06
15,17.60,CZE,9150162,1:30.90,1984,65,KRBEC Ondrej,15,National Championships Dolni Morava (CZE),2024-01-06
16,16.50,CZE,9150184,1:32.76,1971,67,SKRIPSKY Jan,16,National Championships Dolni Morava (CZE),2024-01-06
17,15.40,CZE,9150221,1:33.07,1973,71,TULACH Jaroslav,17,National Championships Dolni Morava (CZE),2024-01-06
18,14.30,CZE,9150015,1:33.62,1984,61,RYS Michal,18,National Championships Dolni Morava (CZE),2024-01-06
19,13.20,CZE,9150347,1:42.41,1972,66,KOZELSKY Radek,19,National Championships Dolni Morava (CZE),2024-01-06
20,12.10,CZE,9150195,1:42.59,1974,70,STARECEK Jiri,20,National Championships Dolni Morava (CZE),2024-01-06
21,"",CZE,9150185,1:45.59,1953,69,KECLIK Jiri,21,National Championships Dolni Morava (CZE),2024-01-06
22,"",POL,9430154,39.92,2001,59,LUBONSKI Jakub,22,National Championships Dolni Morava (CZE),2024-01-06
23,"",CZE,1698664,"",1975,56,GLAJCH Martin,"",National Championships Dolni Morava (CZE),2024-01-06
