RowID,FIS Points,Score,Nation,FIS code,Year,Bib,Athlete,Rank,Cup Points,Event Name,Date
1,1000.00,1:07.22,JPN,9305427,2003,2,MIKI Tsubaki,1,100,World Cup Rogla (SLO),2024-01-25
2,800.00,1:07.11,NED,9405023,1996,1,DEKKER Michelle,2,80,World Cup Rogla (SLO),2024-01-25
3,600.00,1:07.75,AUT,9055032,1992,5,SCHOEFFMANN Sabine,3,60,World Cup Rogla (SLO),2024-01-25
4,500.00,1:07.53,GER,9205058,1996,3,HOFMEISTER Ramona Theresia,4,50,World Cup Rogla (SLO),2024-01-25
5,450.00,1:07.73,AUT,1004920,1973,4,RIEGLER Claudia,5,45,World Cup Rogla (SLO),2024-01-25
6,400.00,1:07.81,AUT,9055071,1998,6,ULBING Daniela,6,40,World Cup Rogla (SLO),2024-01-25
7,360.00,1:07.92,ITA,9295132,1999,7,CAFFONT Elisa,7,36,World Cup Rogla (SLO),2024-01-25
8,320.00,1:08.12,KOR,9325017,1995,8,JEONG Haerim,8,32,World Cup Rogla (SLO),2024-01-25
9,290.00,1:08.23,SUI,9515082,1992,9,ZOGG Julie,9,29,World Cup Rogla (SLO),2024-01-25
10,260.00,1:08.24,ITA,9295154,2001,10,CORATTI Jasmin,10,26,World Cup Rogla (SLO),2024-01-25
11,240.00,1:08.30,JPN,1543464,1983,11,TAKEUCHI Tomoka,11,24,World Cup Rogla (SLO),2024-01-25
12,220.00,1:08.35,CAN,9105371,2000,12,BUCK Kaylie,12,22,World Cup Rogla (SLO),2024-01-25
13,200.00,1:08.43,CZE,9155072,2003,13,MADEROVA Zuzana,13,20,World Cup Rogla (SLO),2024-01-25
14,180.00,1:08.53,ITA,9295145,1997,14,DALMASSO Lucia,14,18,World Cup Rogla (SLO),2024-01-25
15,160.00,1:08.69,USA,9535569,2003,15,PFLUM Iris,15,16,World Cup Rogla (SLO),2024-01-25
16,150.00,1:08.72,GER,9205056,1996,16,HOCHREITER Melanie,16,15,World Cup Rogla (SLO),2024-01-25
17,140.00,1:08.76,SUI,9515102,1993,27,JENNY Ladina,17,14,World Cup Rogla (SLO),2024-01-25
18,130.00,1:09.01,SLO,1569955,1989,30,KOTNIK Gloria,18,13,World Cup Rogla (SLO),2024-01-25
19,120.00,1:09.62,SUI,9515154,1997,35,GASSER Larissa,19,12,World Cup Rogla (SLO),2024-01-25
20,110.00,1:09.82,POL,9435070,1999,38,BUKOWSKA-CHYC Maria,20,11,World Cup Rogla (SLO),2024-01-25
21,100.00,1:09.94,AUT,9055099,2002,41,ANKELE Martina,21,10,World Cup Rogla (SLO),2024-01-25
22,90.00,1:10.00,POL,9435077,2000,36,KWIATKOWSKA Olimpia,22,9,World Cup Rogla (SLO),2024-01-25
23,80.00,1:10.53,USA,9535431,1999,37,KIZUKA Kaiya,23,8,World Cup Rogla (SLO),2024-01-25
24,70.00,1:11.20,CZE,9155071,2003,39,SONKOVA Klara,24,7,World Cup Rogla (SLO),2024-01-25
25,"",1:11.83,GER,9205050,1994,23,LOCH Cheyenne,25,6,World Cup Rogla (SLO),2024-01-25
26,"",1:13.32,JPN,9305265,1994,42,KOSHISAKA Ayana,26,5,World Cup Rogla (SLO),2024-01-25
