RowID,FIS Points,Score,Nation,FIS code,Year,Bib,Rank,Athlete,Cup Points,Event Name,Date
1,1000.00,1:08.91,AUT,1054984,1985,4,1,KARL Benjamin,100,World Cup Cortina d'Ampezzo (ITA),2023-12-16
2,800.00,1:09.19,AUT,1093190,1980,7,2,PROMMEGGER Andreas,80,World Cup Cortina d'Ampezzo (ITA),2023-12-16
3,600.00,1:08.00,ITA,1163127,1980,1,3,FISCHNALLER Roland,60,World Cup Cortina d'Ampezzo (ITA),2023-12-16
4,500.00,1:08.99,SLO,1659088,1984,6,4,KOSIR Zan,50,World Cup Cortina d'Ampezzo (ITA),2023-12-16
5,450.00,1:08.81,ITA,9290107,1991,3,5,CORATTI Edwin,45,World Cup Cortina d'Ampezzo (ITA),2023-12-16
6,400.00,1:09.21,ITA,9290200,1994,8,6,BORMOLINI Maurizio,40,World Cup Cortina d'Ampezzo (ITA),2023-12-16
7,360.00,1:09.60,KOR,9320014,1989,12,7,KIM Sangkyum,36,World Cup Cortina d'Ampezzo (ITA),2023-12-16
8,320.00,1:09.97,BUL,1094969,1990,15,8,YANKOV Radoslav,32,World Cup Cortina d'Ampezzo (ITA),2023-12-16
9,290.00,1:08.72,ITA,9290227,1995,2,9,BAGOZZA Daniele,29,World Cup Cortina d'Ampezzo (ITA),2023-12-16
10,260.00,1:08.98,AUT,9050217,1996,5,10,OBMANN Fabian,26,World Cup Cortina d'Ampezzo (ITA),2023-12-16
11,240.00,1:09.21,KOR,9320091,1995,9,11,LEE Sangho,24,World Cup Cortina d'Ampezzo (ITA),2023-12-16
12,220.00,1:09.22,SLO,9560053,1991,10,12,MASTNAK Tim,22,World Cup Cortina d'Ampezzo (ITA),2023-12-16
13,200.00,1:09.38,SUI,9510316,1995,11,13,CAVIEZEL Dario,20,World Cup Cortina d'Ampezzo (ITA),2023-12-16
14,180.00,1:09.69,ITA,7538766,1986,13,14,MARCH Aaron,18,World Cup Cortina d'Ampezzo (ITA),2023-12-16
15,160.00,1:09.70,AUT,9050042,1989,14,15,PAYER Alexander,16,World Cup Cortina d'Ampezzo (ITA),2023-12-16
16,150.00,1:10.04,AUT,9050272,2001,16,16,PINK Matthaeus,15,World Cup Cortina d'Ampezzo (ITA),2023-12-16
17,140.00,1:10.12,AUT,9050279,2001,46,17,BURGSTALLER Dominik,14,World Cup Cortina d'Ampezzo (ITA),2023-12-16
18,130.00,1:10.15,SLO,7560012,1986,40,18,MARGUC Rok,13,World Cup Cortina d'Ampezzo (ITA),2023-12-16
19,120.00,1:10.27,ITA,9290151,1992,32,19,FELICETTI Mirko,12,World Cup Cortina d'Ampezzo (ITA),2023-12-16
20,110.00,1:10.30,CAN,9101129,2002,41,20,HELDMAN Ben,11,World Cup Cortina d'Ampezzo (ITA),2023-12-16
21,100.00,1:10.36,AUT,9050029,1988,47,21,KISLINGER Sebastian,10,World Cup Cortina d'Ampezzo (ITA),2023-12-16
22,90.00,1:10.37,JPN,7300127,1986,37,22,SHIBA Masaki,9,World Cup Cortina d'Ampezzo (ITA),2023-12-16
23,80.00,1:10.46,GER,9200158,2001,45,23,PRANTL Ole-Mikkel,8,World Cup Cortina d'Ampezzo (ITA),2023-12-16
24,70.00,1:10.63,SUI,9510417,2000,35,24,CASANOVA Gian,7,World Cup Cortina d'Ampezzo (ITA),2023-12-16
25,60.00,1:10.64,POL,9430120,1996,27,25,KWIATKOWSKI Oskar,6,World Cup Cortina d'Ampezzo (ITA),2023-12-16
26,50.00,1:10.69,CAN,9100945,2000,42,26,GAUDET Arnaud,5,World Cup Cortina d'Ampezzo (ITA),2023-12-16
