RowID,FIS Points,Nation,FIS code,Score,Year,Bib,Athlete,Rank,Event Name,Date
1,50.00,POL,9430208,1:05.99,2006,16,KULPINSKI Anatol,1,FIS Kopaonik (SRB),2024-03-03
2,40.00,MKD,1568975,1:12.45,1979,15,KACARSKI Aleksandar,2,FIS Kopaonik (SRB),2024-03-03
3,30.00,FRA,1580324,1:16.72,1985,24,MERMET-GUYENET Julien,3,FIS Kopaonik (SRB),2024-03-03
4,25.00,SRB,9310042,1:20.83,2002,20,PESIC Nemanja,4,FIS Kopaonik (SRB),2024-03-03
5,22.50,CRO,9380038,1:21.18,2004,28,BRCIC Dante,5,FIS Kopaonik (SRB),2024-03-03
6,20.00,MKD,1569654,1:21.26,1977,21,SIMEONOVSKI Dragan,6,FIS Kopaonik (SRB),2024-03-03
7,18.00,FRA,9190630,1:21.47,1973,14,ABADIE William,7,FIS Kopaonik (SRB),2024-03-03
8,16.00,GRE,9230001,1:25.02,2005,18,KARAFYLLIAS Drosos,8,FIS Kopaonik (SRB),2024-03-03
9,14.50,SRB,9310055,1:26.54,1981,19,MIJATOVIC Milan,9,FIS Kopaonik (SRB),2024-03-03
10,13.00,CRO,9380045,1:29.34,2008,29,BRAJKOVIC Lukas,10,FIS Kopaonik (SRB),2024-03-03
11,12.00,CZE,9150015,1:30.10,1984,17,RYS Michal,11,FIS Kopaonik (SRB),2024-03-03
12,11.00,SRB,9310013,1:35.65,2002,82,EDELMAN Stefan Vladislav,12,FIS Kopaonik (SRB),2024-03-03
13,10.00,SRB,9310048,1:36.17,2008,23,BOZOVIC Relja,13,FIS Kopaonik (SRB),2024-03-03
14,9.00,SRB,9310060,1:44.93,2004,33,MILOVANOVIC David,14,FIS Kopaonik (SRB),2024-03-03
15,8.00,SRB,9310061,1:52.02,2007,32,BORIC Luka,15,FIS Kopaonik (SRB),2024-03-03
16,"",SRB,9310054,1:59.19,2008,31,GUKIC Janko,16,FIS Kopaonik (SRB),2024-03-03
17,"",SRB,9310008,"",1997,27,KOLAREVIC Janko,"",FIS Kopaonik (SRB),2024-03-03
18,"",GRE,1234963,"",1994,12,DOUMOS Ioannis,"",FIS Kopaonik (SRB),2024-03-03
