RowID,Nation,FIS code,Year,Time,Bib,Athlete,Rank,Event Name,Date
33,POL,9435099,2004,31.46,38,STOKLOSA Natalia,33,Qualification Lachtal (AUT),2024-03-22
34,KOR,9325082,2006,31.77,54,JUNG Seo-Yeong,34,Qualification Lachtal (AUT),2024-03-22
35,AUT,9055112,2004,31.91,52,NEUMANN Lisa,35,Qualification Lachtal (AUT),2024-03-22
36,ITA,9295224,2006,32.00,51,MAMMONE Anna Victoria,36,Qualification Lachtal (AUT),2024-03-22
37,UKR,9695053,2008,32.25,43,HORDIICHUK Iryna,37,Qualification Lachtal (AUT),2024-03-22
38,CZE,9155117,2007,32.30,50,JECHOVA Linda,38,Qualification Lachtal (AUT),2024-03-22
39,AUS,9045159,2004,32.84,56,BROSE Georgia,39,Qualification Lachtal (AUT),2024-03-22
40,USA,9535684,2006,33.37,49,KIZUKA Akina,40,Qualification Lachtal (AUT),2024-03-22
41,CAN,9105491,2004,33.92,39,BETTEZ Anne-Laurie,41,Qualification Lachtal (AUT),2024-03-22
42,KOR,9325092,2007,35.53,57,CHO Sumin,42,Qualification Lachtal (AUT),2024-03-22
1,CAN,9105518,2005,57.49,24,MOISAN Aurelie,1,Qualification Lachtal (AUT),2024-03-22
2,SUI,9515236,2007,58.34,21,VON SIEBENTHAL Xenia,2,Qualification Lachtal (AUT),2024-03-22
3,UKR,9695046,2005,58.95,20,PAVLIUK Eleonora,3,Qualification Lachtal (AUT),2024-03-22
4,JPN,9305476,2005,59.32,25,MAEDA Suzumi,4,Qualification Lachtal (AUT),2024-03-22
5,SUI,9515213,2004,59.34,27,BAETSCHI Laila Ursina,5,Qualification Lachtal (AUT),2024-03-22
6,POL,9435104,2006,59.36,22,DAWIDEK Weronika,6,Qualification Lachtal (AUT),2024-03-22
7,GER,9205104,2006,59.45,17,JANSING Salome,7,Qualification Lachtal (AUT),2024-03-22
8,ITA,9295234,2008,59.67,44,CARNEVALI Giorgia,8,Qualification Lachtal (AUT),2024-03-22
9,JPN,9305461,2004,59.69,28,OSHIMA Hinano,9,Qualification Lachtal (AUT),2024-03-22
10,GER,9205097,2005,59.78,33,TANIGUCHI Yuna,10,Qualification Lachtal (AUT),2024-03-22
11,CZE,9155107,2005,59.89,29,KECLIKOVA Adela,11,Qualification Lachtal (AUT),2024-03-22
12,GER,9205103,2006,1:00.06,26,SCHEID Mathilda,12,Qualification Lachtal (AUT),2024-03-22
13,AUT,9055118,2006,1:00.07,30,GAMS Marie,13,Qualification Lachtal (AUT),2024-03-22
14,ITA,9295200,2004,1:00.09,32,FACHIN Fabiana,14,Qualification Lachtal (AUT),2024-03-22
15,ITA,9295211,2005,1:00.10,47,RABANSER Sophie,15,Qualification Lachtal (AUT),2024-03-22
16,GER,9205100,2005,1:00.28,41,BUCCIONI Aurelia,16,Qualification Lachtal (AUT),2024-03-22
17,GER,9205105,2006,1:00.45,23,GUNKEL Hannah,17,Qualification Lachtal (AUT),2024-03-22
18,USA,9535668,2006,1:00.68,19,DOMINO Grace,18,Qualification Lachtal (AUT),2024-03-22
19,CZE,9155137,2007,1:01.06,46,OTIPKOVA Hana,19,Qualification Lachtal (AUT),2024-03-22
20,JPN,9305474,2005,1:01.09,37,JIGE Ayane,20,Qualification Lachtal (AUT),2024-03-22
21,BUL,9095070,2006,1:01.23,55,KOTSINOVA Andrea,21,Qualification Lachtal (AUT),2024-03-22
22,GER,9205112,2008,1:01.52,18,JANSING Zoe,22,Qualification Lachtal (AUT),2024-03-22
23,POL,9435098,2004,1:01.53,42,PIWOWARCZYK Natasza,23,Qualification Lachtal (AUT),2024-03-22
24,AUT,9055128,2008,1:01.62,53,DABRINGER Franziska,24,Qualification Lachtal (AUT),2024-03-22
25,POL,9435094,2004,1:01.92,31,KACICZAK Olga,25,Qualification Lachtal (AUT),2024-03-22
26,CZE,9155098,2004,1:01.98,48,ZVIRECI Jana,26,Qualification Lachtal (AUT),2024-03-22
27,POL,9435097,2004,1:01.99,40,POLTORAK Karolina,27,Qualification Lachtal (AUT),2024-03-22
28,BUL,9095077,2008,1:02.25,58,GEORGIEVA Aglika,28,Qualification Lachtal (AUT),2024-03-22
29,CZE,9155116,2006,1:02.47,34,MARESOVA Emma Maya,29,Qualification Lachtal (AUT),2024-03-22
30,CAN,9105568,2007,1:02.79,45,SWEENEY Rowan,30,Qualification Lachtal (AUT),2024-03-22
31,CZE,9155110,2006,1:03.32,35,BIEGELOVA Sofie,31,Qualification Lachtal (AUT),2024-03-22
32,POL,9435100,2005,1:06.29,36,ZAPALA Sonia,32,Qualification Lachtal (AUT),2024-03-22
