RowID,FIS Points,Nation,FIS code,Score,Year,Bib,Athlete,Rank,Event Name,Date
1,140.00,SUI,9515236,1:12.81,2007,32,VON SIEBENTHAL Xenia,1,Junior Alleghe (ITA),2024-02-24
2,112.00,SUI,9515213,1:10.38,2004,26,BAETSCHI Laila Ursina,2,Junior Alleghe (ITA),2024-02-24
3,84.00,AUT,9055118,1:14.32,2006,17,GAMS Marie,3,Junior Alleghe (ITA),2024-02-24
4,70.00,ITA,9295234,1:14.58,2008,20,CARNEVALI Giorgia,4,Junior Alleghe (ITA),2024-02-24
5,63.00,ITA,9295200,1:13.37,2004,18,FACHIN Fabiana,5,Junior Alleghe (ITA),2024-02-24
6,56.00,ITA,9295211,1:13.85,2005,24,RABANSER Sophie,6,Junior Alleghe (ITA),2024-02-24
7,50.40,AUT,9055128,1:15.67,2008,19,DABRINGER Franziska,7,Junior Alleghe (ITA),2024-02-24
8,44.80,CZE,9155116,1:15.81,2006,31,MARESOVA Emma Maya,8,Junior Alleghe (ITA),2024-02-24
9,40.60,CZE,9155098,1:16.09,2004,27,ZVIRECI Jana,9,Junior Alleghe (ITA),2024-02-24
10,36.40,CZE,9155110,1:17.25,2006,30,BIEGELOVA Sofie,10,Junior Alleghe (ITA),2024-02-24
11,33.60,ITA,9295238,1:18.62,2007,23,FEDERSPIELER Sofia,11,Junior Alleghe (ITA),2024-02-24
12,30.80,AUT,9055112,1:18.70,2004,22,NEUMANN Lisa,12,Junior Alleghe (ITA),2024-02-24
13,28.00,AUT,9055126,1:23.30,2008,28,ARZBERGER Valentina,13,Junior Alleghe (ITA),2024-02-24
14,25.20,ITA,9295233,1:27.31,2006,34,PINI Agnese,14,Junior Alleghe (ITA),2024-02-24
15,22.40,ITA,9295240,1:27.54,2008,33,DORFMANN Emma,15,Junior Alleghe (ITA),2024-02-24
16,21.00,ITA,9295228,1:27.59,2005,25,LAMBER Viktoria,16,Junior Alleghe (ITA),2024-02-24
17,"",ITA,9295202,1:31.04,2004,35,OCHNER Anna,17,Junior Alleghe (ITA),2024-02-24
18,"",ITA,9295208,"",2005,21,ZIMMERHOFER Marlis,"",Junior Alleghe (ITA),2024-02-24
19,"",GER,9205105,"",2006,29,GUNKEL Hannah,"",Junior Alleghe (ITA),2024-02-24
