RowID,FIS Points,Nation,FIS code,Year,Bib,Athlete,Rank,Event Name,Date
1,290.00,AUT,9055032,1992,9,SCHOEFFMANN Sabine,1,National Championships Hochficht/Zwiesel (AUT),2024-02-09
2,232.00,AUT,9055071,1998,5,ULBING Daniela,2,National Championships Hochficht/Zwiesel (AUT),2024-02-09
3,174.00,POL,9435104,2006,14,DAWIDEK Weronika,3,National Championships Hochficht/Zwiesel (AUT),2024-02-09
4,145.00,SUI,9515236,2007,1,VON SIEBENTHAL Xenia,4,National Championships Hochficht/Zwiesel (AUT),2024-02-09
5,130.50,AUT,9055093,2001,6,KAINZ Carmen,5,National Championships Hochficht/Zwiesel (AUT),2024-02-09
6,116.00,POL,9435077,2000,16,KWIATKOWSKA Olimpia,6,National Championships Hochficht/Zwiesel (AUT),2024-02-09
7,104.40,SUI,9515213,2004,8,BAETSCHI Laila Ursina,7,National Championships Hochficht/Zwiesel (AUT),2024-02-09
8,92.80,AUT,9055100,2002,7,PICHELKASTNER Jessica,8,National Championships Hochficht/Zwiesel (AUT),2024-02-09
9,84.10,AUT,9055118,2006,13,GAMS Marie,9,National Championships Hochficht/Zwiesel (AUT),2024-02-09
10,75.40,POL,9435070,1999,10,BUKOWSKA-CHYC Maria,10,National Championships Hochficht/Zwiesel (AUT),2024-02-09
11,69.60,AUT,9055101,2002,2,WEIS Miriam,11,National Championships Hochficht/Zwiesel (AUT),2024-02-09
12,63.80,CZE,9155107,2005,15,KECLIKOVA Adela,12,National Championships Hochficht/Zwiesel (AUT),2024-02-09
13,58.00,SUI,9515212,2003,4,BAETSCHI Flurina Neva,13,National Championships Hochficht/Zwiesel (AUT),2024-02-09
14,52.20,AUT,9055107,2003,3,SCHOEFFMANN Pia,14,National Championships Hochficht/Zwiesel (AUT),2024-02-09
15,46.40,SUI,9515198,2002,24,KLEESATTEL Eliane,15,National Championships Hochficht/Zwiesel (AUT),2024-02-09
16,43.50,AUT,9055128,2008,26,DABRINGER Franziska,16,National Championships Hochficht/Zwiesel (AUT),2024-02-09
17,40.60,CZE,9155098,2004,22,ZVIRECI Jana,17,National Championships Hochficht/Zwiesel (AUT),2024-02-09
18,37.70,SUI,9515196,2002,11,HAUSER Ricarda,18,National Championships Hochficht/Zwiesel (AUT),2024-02-09
19,34.80,POL,9435100,2005,18,ZAPALA Sonia,19,National Championships Hochficht/Zwiesel (AUT),2024-02-09
20,31.90,POL,9435098,2004,20,PIWOWARCZYK Natasza,20,National Championships Hochficht/Zwiesel (AUT),2024-02-09
21,29.00,AUT,9055112,2004,23,NEUMANN Lisa,21,National Championships Hochficht/Zwiesel (AUT),2024-02-09
22,26.10,CZE,9155137,2007,21,OTIPKOVA Hana,22,National Championships Hochficht/Zwiesel (AUT),2024-02-09
23,23.20,POL,9435094,2004,17,KACICZAK Olga,23,National Championships Hochficht/Zwiesel (AUT),2024-02-09
24,20.30,CZE,9155149,2008,27,KOZELSKA Ivana,24,National Championships Hochficht/Zwiesel (AUT),2024-02-09
25,17.40,AUT,9055126,2008,28,ARZBERGER Valentina,25,National Championships Hochficht/Zwiesel (AUT),2024-02-09
26,14.50,CZE,9155108,2005,25,KECLIKOVA Barbora,26,National Championships Hochficht/Zwiesel (AUT),2024-02-09
27,"",POL,9435097,2004,19,POLTORAK Karolina,27,National Championships Hochficht/Zwiesel (AUT),2024-02-09
28,"",FIN,9185017,1989,29,HANHIKOSKI Cecilia,28,National Championships Hochficht/Zwiesel (AUT),2024-02-09
29,"",AUT,1004920,1973,12,RIEGLER Claudia,"",National Championships Hochficht/Zwiesel (AUT),2024-02-09
