RowID,FIS Points,Nation,FIS code,Year,Athlete,Rank,Cup Points,Event Name,Date
33,5.76,KOR,9320262,2008,KIM Taehoon,33,"",Asian Cup High1resort (KOR),2024-03-04
34,5.28,KOR,9320267,2008,LEE Hyunseok,34,"",Asian Cup High1resort (KOR),2024-03-04
35,"",KOR,9320274,2008,KIM Chan Oh,35,"",Asian Cup High1resort (KOR),2024-03-04
36,"",KOR,9320272,2008,GILL Hyeok Jae,36,"",Asian Cup High1resort (KOR),2024-03-04
37,"",KOR,9320263,2008,CHOI Jiho,37,"",Asian Cup High1resort (KOR),2024-03-04
38,"",JPN,9300905,2002,KANEMATSU Naoki,"","",Asian Cup High1resort (KOR),2024-03-04
1,240.00,KOR,9320129,1998,CHO Wan-Hee,1,100,Asian Cup High1resort (KOR),2024-03-04
2,192.00,KOR,9320171,2000,KWON Yong-Hwi,2,80,Asian Cup High1resort (KOR),2024-03-04
3,144.00,CHN,1124951,1994,BI Ye,3,60,Asian Cup High1resort (KOR),2024-03-04
4,120.00,KOR,9320127,1998,HONG Seung-Yeong,4,50,Asian Cup High1resort (KOR),2024-03-04
5,108.00,KOR,9320122,1997,CHO Soung-hee,5,45,Asian Cup High1resort (KOR),2024-03-04
6,96.00,JPN,9300856,2001,SHINOHARA Ryusuke,6,40,Asian Cup High1resort (KOR),2024-03-04
7,86.40,CHN,1124993,2002,BAN Xuefu,7,36,Asian Cup High1resort (KOR),2024-03-04
8,76.80,CHN,1124998,2000,QIN Zihan,8,32,Asian Cup High1resort (KOR),2024-03-04
9,69.60,CHN,1124947,1991,SUN Huan,9,29,Asian Cup High1resort (KOR),2024-03-04
10,62.40,KOR,9320168,2000,SHIN Gyung-Rok,10,26,Asian Cup High1resort (KOR),2024-03-04
11,57.60,KOR,9320217,2004,KIL Geon Ho,11,24,Asian Cup High1resort (KOR),2024-03-04
12,52.80,JPN,9300870,2001,SHIMIZU Daichi,12,22,Asian Cup High1resort (KOR),2024-03-04
13,48.00,KOR,9320197,2002,MA Junho,13,20,Asian Cup High1resort (KOR),2024-03-04
14,43.20,CHN,1124989,2002,LYU Meishuo,14,18,Asian Cup High1resort (KOR),2024-03-04
15,38.40,CHN,1124990,2001,DING Xuedong,15,16,Asian Cup High1resort (KOR),2024-03-04
16,36.00,KOR,9320064,1992,LEE Je Jung,16,15,Asian Cup High1resort (KOR),2024-03-04
17,33.60,KOR,9320214,2004,KIM Hyoungbin,17,14,Asian Cup High1resort (KOR),2024-03-04
18,31.20,KOR,9320222,2005,PARK Jisung,18,13,Asian Cup High1resort (KOR),2024-03-04
19,28.80,KOR,9320195,2002,LEE Junghoo,19,12,Asian Cup High1resort (KOR),2024-03-04
20,28.80,JPN,9301035,2004,SUGIMOTO Shikoh,19,12,Asian Cup High1resort (KOR),2024-03-04
21,24.00,KOR,9320237,2006,PARK Jaemin,21,10,Asian Cup High1resort (KOR),2024-03-04
22,21.60,JPN,9300973,2001,YOGO Ryusho,22,9,Asian Cup High1resort (KOR),2024-03-04
23,19.20,KOR,9320223,2005,YUN Chang Ha,23,8,Asian Cup High1resort (KOR),2024-03-04
24,16.80,JPN,9300994,2003,SAEKI Reishi,24,7,Asian Cup High1resort (KOR),2024-03-04
25,14.40,KOR,9320246,2006,KIM Sangyun,25,6,Asian Cup High1resort (KOR),2024-03-04
26,12.00,KOR,9320160,1999,KIM Kyu-Won,26,5,Asian Cup High1resort (KOR),2024-03-04
27,10.80,KOR,9320240,2006,KIM Ji Eon,27,4,Asian Cup High1resort (KOR),2024-03-04
28,10.80,KOR,9320257,2008,KIM Minjae,27,4,Asian Cup High1resort (KOR),2024-03-04
29,8.64,KOR,9320243,2006,LEE Jeong-Gil,29,2,Asian Cup High1resort (KOR),2024-03-04
30,7.68,KOR,9320255,2007,KIM Minseong,30,1,Asian Cup High1resort (KOR),2024-03-04
31,6.72,KOR,9320014,1989,KIM Sangkyum,31,"",Asian Cup High1resort (KOR),2024-03-04
32,6.24,KOR,9320239,2006,PAK Han Beom,32,"",Asian Cup High1resort (KOR),2024-03-04
