RowID,FIS Points,Score,Nation,FIS code,Year,Bib,Athlete,Rank,Cup Points,Event Name,Date
1,200.00,1:05.86,CHN,1124998,2000,9,QIN Zihan,1,100,Asian Cup Wanglong Ski Resrort (CHN),2024-03-19
2,160.00,1:06.88,CHN,1124993,2002,6,BAN Xuefu,2,80,Asian Cup Wanglong Ski Resrort (CHN),2024-03-19
3,120.00,1:07.94,CHN,1124947,1991,7,SUN Huan,3,60,Asian Cup Wanglong Ski Resrort (CHN),2024-03-19
4,100.00,1:07.99,JPN,9300856,2001,14,SHINOHARA Ryusuke,4,50,Asian Cup Wanglong Ski Resrort (CHN),2024-03-19
5,90.00,1:09.05,KOR,9320129,1998,3,CHO Wan-Hee,5,45,Asian Cup Wanglong Ski Resrort (CHN),2024-03-19
6,80.00,1:09.29,JPN,9300905,2002,2,KANEMATSU Naoki,6,40,Asian Cup Wanglong Ski Resrort (CHN),2024-03-19
7,72.00,1:09.56,CHN,1124989,2002,12,LYU Meishuo,7,36,Asian Cup Wanglong Ski Resrort (CHN),2024-03-19
8,64.00,1:09.61,CHN,1124951,1994,15,BI Ye,8,32,Asian Cup Wanglong Ski Resrort (CHN),2024-03-19
9,58.00,1:09.80,CHN,1124990,2001,19,DING Xuedong,9,29,Asian Cup Wanglong Ski Resrort (CHN),2024-03-19
10,52.00,1:10.00,CHN,9120159,2005,21,PENG Yuexi,10,26,Asian Cup Wanglong Ski Resrort (CHN),2024-03-19
11,48.00,1:10.05,CHN,9120161,2006,25,YAO Ming,11,24,Asian Cup Wanglong Ski Resrort (CHN),2024-03-19
12,44.00,1:11.16,KOR,9320214,2004,13,KIM Hyoungbin,12,22,Asian Cup Wanglong Ski Resrort (CHN),2024-03-19
13,40.00,1:11.24,JPN,9301035,2004,18,SUGIMOTO Shikoh,13,20,Asian Cup Wanglong Ski Resrort (CHN),2024-03-19
14,36.00,1:12.05,JPN,9300973,2001,4,YOGO Ryusho,14,18,Asian Cup Wanglong Ski Resrort (CHN),2024-03-19
15,32.00,1:14.15,JPN,9300994,2003,17,SAEKI Reishi,15,16,Asian Cup Wanglong Ski Resrort (CHN),2024-03-19
16,30.00,1:14.83,KOR,9320195,2002,1,LEE Junghoo,16,15,Asian Cup Wanglong Ski Resrort (CHN),2024-03-19
17,28.00,1:15.37,KOR,9320237,2006,22,PARK Jaemin,17,14,Asian Cup Wanglong Ski Resrort (CHN),2024-03-19
18,26.00,1:18.45,KOR,9320257,2008,26,KIM Minjae,18,13,Asian Cup Wanglong Ski Resrort (CHN),2024-03-19
19,24.00,1:19.22,KOR,9320217,2004,20,KIL Geon Ho,19,12,Asian Cup Wanglong Ski Resrort (CHN),2024-03-19
20,22.00,1:21.89,KOR,9320246,2006,23,KIM Sangyun,20,11,Asian Cup Wanglong Ski Resrort (CHN),2024-03-19
21,20.00,1:28.91,KOR,9320263,2008,29,CHOI Jiho,21,10,Asian Cup Wanglong Ski Resrort (CHN),2024-03-19
22,"",1:45.34,KOR,9320240,2006,24,KIM Ji Eon,22,9,Asian Cup Wanglong Ski Resrort (CHN),2024-03-19
23,"",1:52.19,KOR,9320267,2008,28,LEE Hyunseok,23,8,Asian Cup Wanglong Ski Resrort (CHN),2024-03-19
24,"","",CHN,9120160,2006,27,HUO Shuaijun,"","",Asian Cup Wanglong Ski Resrort (CHN),2024-03-19
25,"","",KOR,9320127,1998,16,HONG Seung-Yeong,"","",Asian Cup Wanglong Ski Resrort (CHN),2024-03-19
26,"","",KOR,9320122,1997,11,CHO Soung-hee,"","",Asian Cup Wanglong Ski Resrort (CHN),2024-03-19
27,"","",CHN,9120076,2003,10,SHAO Yunyang,"","",Asian Cup Wanglong Ski Resrort (CHN),2024-03-19
28,"","",KOR,9320223,2005,8,YUN Chang Ha,"","",Asian Cup Wanglong Ski Resrort (CHN),2024-03-19
29,"","",KOR,9320222,2005,5,PARK Jisung,"","",Asian Cup Wanglong Ski Resrort (CHN),2024-03-19
