RowID,Nation,FIS code,Year,Time,Bib,Rank,Athlete,Event Name,Date,URL,FIS Points,Score,Cup Points,Nation Year,Name,Order
76,GER,9200201,2004,"",72,"",SOBINGER Tim,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21610,,,,,,
77,SLO,7560012,1986,"",19,"",MARGUC Rok,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21610,,,,,,
1,AUT,9055032,1992,56.22,31,1,SCHOEFFMANN Sabine,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
2,GER,9205058,1996,57.01,23,2,HOFMEISTER Ramona Theresia,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
3,AUT,9055093,2001,57.22,24,3,KAINZ Carmen,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
4,CAN,9105518,2005,57.63,29,4,MOISAN Aurelie,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
5,GER,9205056,1996,57.93,30,5,HOCHREITER Melanie,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
6,CHN,9125001,1998,58.10,75,6,GONG Naiying,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
7,AUT,9055101,2002,58.15,20,7,WEIS Miriam,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
8,GER,9205112,2008,58.38,80,8,JANSING Zoe,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
9,USA,9535569,2003,58.50,32,9,PFLUM Iris,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
10,AUT,9055107,2003,58.61,28,10,SCHOEFFMANN Pia,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
11,SUI,9515212,2003,58.71,27,11,BAETSCHI Flurina Neva,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
12,ITA,9295158,2003,58.79,18,12,FAVA Elisa,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
13,GER,9205104,2006,58.82,35,13,JANSING Salome,Qualification Götschen (GER),2023-12-08,https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=21609,,,,,,
